timepoint_df,radius(um),height(um),Time(hr)
5,694.6812222467177,141.438,26.34809222222222
10,1078.6678554702366,145.724,39.843310555555554
15,1203.3457220931978,171.44,51.45739416666667
4,684.5744690111698,141.438,24.119094999999998
9,1185.153792842307,150.01,37.536496944444444
14,1339.1682253693386,158.582,49.15960388888889
19,2141.360763648593,158.582,61.97811166666666
22,1918.077707739136,171.43999999999997,74.55312111111111
3,505.7632375796294,137.152,21.757448333333333
8,1056.2100979718266,141.438,35.145964166666666
13,1304.5376471132681,141.438,46.760691111111115
18,1450.9383567045895,175.72599999999997,59.481852499999995
2,404.31566726994424,120.008,19.294867777777778
7,984.3894087108248,145.724,32.64961777777778
12,1243.2892430259342,158.582,44.26999111111111
17,1482.714703719049,162.868,56.90309944444444
21,1594.8028728106178,180.01199999999997,69.66314055555556
1,265.20795339680285,94.29199999999999,16.48390277777778
6,869.2793751712411,141.438,29.862931944444444
11,1226.0182259775077,154.296,41.432678611111115
16,1457.6047599466872,167.154,54.0205875
20,1502.6459142840847,162.868,66.71321166666667
